// perfect paradox
//notes:PvE barrel shroud, tactical mag, demolitionist, trench barrel, range/handling mw
dimwishlist:item=3393519051&perks=1300023272,106909392,3523296417,806159697
dimwishlist:item=3393519051&perks=1300023272,106909392,3523296417,2360754333
dimwishlist:item=2248667690&perks=1300023272,106909392,3523296417,806159697
dimwishlist:item=2248667690&perks=1300023272,106909392,3523296417,2360754333


// steelfeather repeater
//notes:mrphang:PvE Smallbore,High-Caliber Rounds/Armor-Piercing Rounds,Feeding Frenzy/Firmly Planted/Subsistence,Multikill Clip/Vorpal Weapon/Swashbuckler,Reload/Stability MW
dimwishlist:item=2723241847&perks=1482024992,106909392,247725512,3038247973,178753455
dimwishlist:item=2723241847&perks=3250034553,106909392,247725512,1546637391,384158423
dimwishlist:item=2723241847&perks=1482024992,106909392,247725512,1546637391,384158423
dimwishlist:item=2723241847&perks=3250034553,106909392,247725512,3038247973,384158423
dimwishlist:item=2723241847&perks=1482024992,106909392,247725512,3038247973,384158423
dimwishlist:item=2723241847&perks=3250034553,106909392,247725512,1546637391,758092021
dimwishlist:item=2723241847&perks=1482024992,106909392,247725512,1546637391,758092021
dimwishlist:item=2723241847&perks=3250034553,106909392,247725512,3038247973,758092021
dimwishlist:item=2723241847&perks=1482024992,106909392,247725512,3038247973,758092021
dimwishlist:item=2723241847&perks=3250034553,106909392,247725512,1546637391,2942552113
dimwishlist:item=2723241847&perks=1482024992,106909392,247725512,1546637391,2942552113
dimwishlist:item=2723241847&perks=3250034553,106909392,247725512,3038247973,2942552113
dimwishlist:item=2723241847&perks=1482024992,106909392,247725512,3038247973,2942552113
